Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 65.0.3325.181,,2018-03-24 16:50:17,2018-03-24 16:50:32,14.557s,PASSED
,,,,,,
Test Cases/Test1,Chrome 65.0.3325.181,,2018-03-24 16:50:17,2018-03-24 16:50:24,6.694s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 16:50:18,2018-03-24 16:50:23,5.664s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 16:50:23,2018-03-24 16:50:24,0.694s,PASSED
,,,,,,
Test Cases/Test2,Chrome 65.0.3325.181,,2018-03-24 16:50:24,2018-03-24 16:50:32,7.388s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 16:50:24,2018-03-24 16:50:31,6.529s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 16:50:31,2018-03-24 16:50:32,0.627s,PASSED
