Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 65.0.3325.181,,2018-03-24 17:19:34,2018-03-24 17:19:48,14.298s,PASSED
,,,,,,
Test Cases/Test1,Chrome 65.0.3325.181,,2018-03-24 17:19:34,2018-03-24 17:19:41,6.927s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 17:19:35,2018-03-24 17:19:41,5.841s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 17:19:41,2018-03-24 17:19:41,0.731s,PASSED
,,,,,,
Test Cases/Test2,Chrome 65.0.3325.181,,2018-03-24 17:19:41,2018-03-24 17:19:48,6.775s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 17:19:42,2018-03-24 17:19:47,5.256s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 17:19:47,2018-03-24 17:19:48,1.019s,PASSED
