Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 65.0.3325.181,,2018-03-24 16:46:44,2018-03-24 16:47:00,16.302s,PASSED
,,,,,,
Test Cases/Test1,Chrome 65.0.3325.181,,2018-03-24 16:46:44,2018-03-24 16:46:51,6.702s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 16:46:45,2018-03-24 16:46:50,5.741s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 16:46:50,2018-03-24 16:46:51,0.663s,PASSED
,,,,,,
Test Cases/Test2,Chrome 65.0.3325.181,,2018-03-24 16:46:51,2018-03-24 16:47:00,9.172s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 16:46:51,2018-03-24 16:47:00,8.344s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 16:47:00,2018-03-24 16:47:00,0.614s,PASSED
