Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 65.0.3325.181,,2018-03-24 16:42:58,2018-03-24 16:43:15,16.253s,PASSED
,,,,,,
Test Cases/Test1,Chrome 65.0.3325.181,,2018-03-24 16:42:59,2018-03-24 16:43:07,8.601s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 16:42:59,2018-03-24 16:43:07,7.622s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 16:43:07,2018-03-24 16:43:07,0.678s,PASSED
,,,,,,
Test Cases/Test2,Chrome 65.0.3325.181,,2018-03-24 16:43:07,2018-03-24 16:43:14,7.262s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 16:43:07,2018-03-24 16:43:14,6.498s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 16:43:14,2018-03-24 16:43:14,0.624s,PASSED
