Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 65.0.3325.181,,2018-03-24 17:24:06,2018-03-24 17:24:18,11.974s,PASSED
,,,,,,
Test Cases/Test1,Chrome 65.0.3325.181,,2018-03-24 17:24:07,2018-03-24 17:24:13,6.541s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 17:24:07,2018-03-24 17:24:13,5.613s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 17:24:13,2018-03-24 17:24:13,0.639s,PASSED
,,,,,,
Test Cases/Test2,Chrome 65.0.3325.181,,2018-03-24 17:24:13,2018-03-24 17:24:18,4.792s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 17:24:13,2018-03-24 17:24:17,4.064s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 17:24:17,2018-03-24 17:24:18,0.584s,PASSED
