Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 65.0.3325.181,,2018-03-24 16:45:43,2018-03-24 16:45:56,13.016s,PASSED
,,,,,,
Test Cases/Test1,Chrome 65.0.3325.181,,2018-03-24 16:45:43,2018-03-24 16:45:50,6.547s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 16:45:44,2018-03-24 16:45:49,5.572s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 16:45:49,2018-03-24 16:45:50,0.695s,PASSED
,,,,,,
Test Cases/Test2,Chrome 65.0.3325.181,,2018-03-24 16:45:50,2018-03-24 16:45:56,6.006s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-24 16:45:50,2018-03-24 16:45:55,5.223s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-24 16:45:55,2018-03-24 16:45:56,0.630s,PASSED
